Path [0001]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK']
Path [0054]	:	['JAK', 'BKK', 'TOK', 'HKG', 'PEK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, -1.449, -1.68, 2.778, -1.768, -1.927]

Path [0055]	:	['JAK', 'BKK', 'TOK', 'TPE', 'HKG', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, -1.68, -1.768, 2.778]

Path [0056]	:	['JAK', 'BKK', 'TOK', 'TPE', 'HKG', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, -1.68, 2.778, -1.768]

Path [0057]	:	['JAK', 'BKK', 'TOK', 'TPE', 'KOR', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, -1.768, -1.68, 2.778]

Path [0058]	:	['JAK', 'BKK', 'TOK', 'TPE', 'KOR', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, -1.768, 2.778, -1.68]

Path [0059]	:	['JAK', 'BKK', 'TOK', 'TPE', 'PEK', 'HKG', 'KOR']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, 2.778, -1.68, -1.768]

Path [0060]	:	['JAK', 'BKK', 'TOK', 'TPE', 'PEK', 'KOR', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, -1.927, 2.778, -1.768, -1.68]

Path [0061]	:	['JAK', 'BKK', 'TOK', 'KOR', 'HKG', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, -1.68, -1.927, 2.778]

Path [0062]	:	['JAK', 'BKK', 'TOK', 'KOR', 'HKG', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, -1.68, 2.778, -1.927]

Path [0063]	:	['JAK', 'BKK', 'TOK', 'KOR', 'TPE', 'HKG', 'PEK']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, -1.927, -1.68, 2.778]

Path [0064]	:	['JAK', 'BKK', 'TOK', 'KOR', 'TPE', 'PEK', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, -1.927, 2.778, -1.68]

Path [0065]	:	['JAK', 'BKK', 'TOK', 'KOR', 'PEK', 'HKG', 'TPE']
