Path [0111]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'TPE', 'HKG', 'KOR', 'KUL']
Distance	:	18358.4650455544 km

Path [0112]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'TPE', 'KOR', 'HKG', 'KUL']
Distance	:	16945.21499905153 km

Path [0113]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'KOR', 'HKG', 'TPE', 'KUL']
Distance	:	16087.574685869287 km

Path [0114]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'KOR', 'TPE', 'HKG', 'KUL']
Distance	:	14776.79619600784 km

Path [0115]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'HKG', 'TPE', 'TOK', 'KUL']
Distance	:	17900.362751324486 km

Path [0116]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'HKG', 'TOK', 'TPE', 'KUL']
Distance	:	17892.59446071341 km

Path [0117]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'TPE', 'HKG', 'TOK', 'KUL']
Distance	:	18075.395846400203 km

Path [0118]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'TPE', 'TOK', 'HKG', 'KUL']
Distance	:	16581.815970851967 km

Path [0119]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'TOK', 'HKG', 'TPE', 'KUL']
Distance	:	15724.175657669719 km

Path [0120]	:	['KUL', 'JAK', 'BKK', 'PEK', 'KOR', 'TOK', 'TPE', 'HKG', 'KUL']
Distance	:	14238.364072732553 km

Path [0121]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'TOK', 'KOR', 'PEK', 'KUL']
Distance	:	17118.269551120906 km

Path [0122]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'TOK', 'PEK', 'KOR', 'KUL']
Distance	:	18276.698892273227 km

Path [0123]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'KOR', 'TOK', 'PEK', 'KUL']
Distance	:	17656.70167439619 km

Path [0124]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'KOR', 'PEK', 'TOK', 'KUL']
Distance	:	18357.0287213186 km

Path [0125]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'PEK', 'TOK', 'KOR', 'KUL']
Distance	:	18126.12710317853 km

Path [0126]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TPE', 'PEK', 'KOR', 'TOK', 'KUL']
Distance	:	17668.024808948616 km

